Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Important notes
AGL ENERGY LIMITED,74 115 061 375,"42,227,180","512,404","327,755,307",-
ENERGYAUSTRALIA HOLDINGS LIMITED,57 101 876 135,"17,935,957","229,029","147,473,227",-
STANWELL CORPORATION LIMITED,37 078 848 674,"17,126,943","64,484","126,966,249",-
ORIGIN ENERGY LIMITED,30 000 051 696,"15,997,984","2,402,842","143,163,928",-
C S ENERGY LIMITED,54 078 848 745,"13,199,922","127,393","91,862,108","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and OZGEN HOLDINGS AUSTRALIA PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2019-20 greenhouse and energy information for designated generation facilities."
PIONEER SAIL HOLDINGS PTY LIMITED,45 617 844 569,"11,710,974","8,622","98,312,481",-
OZGEN HOLDINGS AUSTRALIA PTY LTD,34 128 655 096,"10,818,788","35,803","77,262,381","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and OZGEN HOLDINGS AUSTRALIA PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2019-20 greenhouse and energy information for designated generation facilities."
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60 098 079 344,"10,206,589","3,782","145,224,469",-
WOODSIDE PETROLEUM LTD.,55 004 898 962,"9,194,216","10,955","155,653,108",-
INPEX HOLDINGS AUSTRALIA PTY LTD,61 150 217 315,"7,623,682","1,038","92,756,911",-
SANTOS LIMITED,80 007 550 923,"7,321,595","573,763","99,466,411",-
RIO TINTO LIMITED,96 004 458 404,"7,267,602","7,736,906","143,043,355",-
NRG VICTORIA I PTY LTD,26 076 286 578,"7,241,154","47,079","54,395,362",-
ANGLO AMERICAN AUSTRALIA LIMITED,47 004 892 371,"7,233,570","826,367","22,241,504",-
DELTA ELECTRICITY PTY LTD,66 620 205 263,"7,074,216","127,812","48,217,285",-
SOUTH32 LIMITED,84 093 732 597,"6,703,813","415,548","60,333,384",-
GLENCORE HOLDINGS PTY LIMITED,41 104 160 689,"6,578,739","1,825,876","58,773,943",-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33 096 987 370,"6,350,089","4,149,755","126,857,824",-
BLUESCOPE STEEL LIMITED,16 000 011 058,"6,289,327","932,133","74,401,145",-
ELECTRICITY GENERATION AND RETAIL CORPORATION,58 673 830 106,"5,440,780","6,557","45,003,854",-
BHP GROUP LIMITED,49 004 028 077,"3,773,432","1,352,475","63,246,269",-
LIBERTY PRIMARY METALS AUSTRALIA PTY LTD,29 631 112 573,"3,678,068","262,171","31,402,526",-
BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"3,620,784","1,035,383","34,313,774",-
QANTAS AIRWAYS LIMITED,16 009 661 901,"3,354,498","83,905","49,645,210",-
QUEENSLAND ALUMINA LIMITED,98 009 725 044,"3,141,923","554,085","41,067,648",-
CEMENT AUSTRALIA HOLDINGS PTY LTD,99 001 085 561,"2,686,273","209,354","13,611,339",-
EXXONMOBIL AUSTRALIA PTY LTD,48 091 561 198,"2,435,245","182,407","30,261,290",-
YANCOAL AUSTRALIA LTD,82 111 859 119,"2,242,936","473,636","17,051,273",-
ADBRI LIMITED,15 007 596 018,"2,125,121","207,432","14,286,867",-
PEABODY AUSTRALIA HOLDCO PTY LTD,61 154 820 130,"2,073,303","195,079","10,255,911",-
CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,28 141 253 787,"2,061,529",335,"40,952,793",-
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,69 054 260 776,"1,987,031","6,708","30,956,450",-
VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,"1,919,212","4,642","27,359,755",-
FORTESCUE METALS GROUP LTD,57 002 594 872,"1,907,353","163,969","29,667,422",-
QGC MIDSTREAM INVESTMENTS PTY LTD,77 130 857 215,"1,793,519",0,"33,370,978",-
CENTENNIAL COAL COMPANY LIMITED,30 003 714 538,"1,727,968","244,595","3,350,561",-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,70 105 041 209,"1,601,223","5,156","16,989,449",-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,14 613 690 243,"1,594,533","425,047","22,210,133",-
ORICA LIMITED,24 004 145 868,"1,581,087","163,886","18,581,826",-
INCITEC PIVOT LIMITED,42 004 080 264,"1,509,346","148,752","29,666,829",-
WHITEHAVEN COAL LIMITED,68 124 425 396,"1,486,587","105,996","6,312,631",-
